Ranking,Title,Release Date,Domestic Sales (in $),International Sales (in $),World Sales (in $)
332,Die Another Day (2002),11/20/2002,"$160,942,139.00 ","$271,028,977.00 ","$431,971,116.00 "
334,How to Train Your Dragon: The Hidden World (2019),1/3/2019,"$160,799,505.00 ","$363,589,578.00 ","$524,389,083.00 "
340,1917 (2019),12/25/2019,"$159,227,644.00 ","$225,691,745.00 ","$384,919,389.00 "
342,Star Trek Beyond (2016),7/20/2016,"$158,848,340.00 ","$184,623,476.00 ","$343,471,816.00 "
345,X-Men (2000),7/13/2000,"$157,299,718.00 ","$139,039,810.00 ","$296,339,528.00 "
346,Scary Movie (2000),7/7/2000,"$157,019,771.00 ","$121,000,000.00 ","$278,019,771.00 "
347,Who Framed Roger Rabbit (1988),6/24/1988,"$156,452,370.00 ","$173,351,588.00 ","$329,803,958.00 "
348,What Lies Beneath (2000),7/21/2000,"$155,464,351.00 ","$135,956,000.00 ","$291,420,351.00 "
355,Fantastic Four (2005),7/6/2005,"$154,696,080.00 ","$178,839,854.00 ","$333,535,934.00 "
358,Jerry Maguire (1996),12/13/1996,"$153,952,592.00 ","$119,600,000.00 ","$273,552,592.00 "
360,Scooby-Doo (2002),6/14/2002,"$153,294,164.00 ","$122,356,539.00 ","$275,650,703.00 "
363,Runaway Bride (1999),7/30/1999,"$152,257,509.00 ","$157,202,783.00 ","$309,460,292.00 "
364,La La Land (2016),12/7/2016,"$151,101,803.00 ","$297,805,062.00 ","$448,906,865.00 "
366,We're the Millers (2013),8/29/2012,"$150,394,119.00 ","$119,600,000.00 ","$269,994,119.00 "
367,Terminator 3: Rise of the Machines (2003),7/2/2003,"$150,371,112.00 ","$283,000,000.00 ","$433,371,112.00 "
369,G.I. Joe: The Rise of Cobra (2009),8/5/2009,"$150,201,498.00 ","$152,267,519.00 ","$302,469,017.00 "
371,American Hustle (2013),12/12/2013,"$150,117,807.00 ","$101,054,000.00 ","$251,171,807.00 "
374,Les Misérables (2012),12/19/2012,"$148,809,770.00 ","$293,489,539.00 ","$442,299,309.00 "
375,Knocked Up (2007),6/1/2007,"$148,768,917.00 ","$71,153,500.00 ","$219,922,417.00 "
376,As Good as It Gets (1997),12/23/1997,"$148,478,011.00 ","$165,700,000.00 ","$314,178,011.00 "
377,Little Fockers (2010),12/22/2010,"$148,438,600.00 ","$162,211,985.00 ","$310,650,585.00 "
380,Talladega Nights: The Ballad of Ricky Bobby (2006),8/4/2006,"$148,213,377.00 ","$15,148,718.00 ","$163,362,095.00 "
381,Gran Torino (2008),12/12/2008,"$148,095,302.00 ","$121,862,926.00 ","$269,958,228.00 "
383,War for the Planet of the Apes (2017),7/11/2017,"$146,880,162.00 ","$343,839,601.00 ","$490,719,763.00 "
384,X-Men: First Class (2011),6/1/2011,"$146,408,305.00 ","$206,208,385.00 ","$352,616,690.00 "
385,Paul Blart: Mall Cop (2009),1/16/2009,"$146,336,178.00 ","$37,012,251.00 ","$183,348,429.00 "
386,True Lies (1994),7/15/1994,"$146,282,411.00 ","$232,600,000.00 ","$378,882,411.00 "
387,Lilo & Stitch (2002),6/21/2002,"$145,794,338.00 ","$127,349,813.00 ","$273,144,151.00 "
388,The Santa Clause (1994),11/11/1994,"$145,539,357.00 ","$45,000,000.00 ","$190,539,357.00 "
389,The Meg (2018),8/8/2018,"$145,443,742.00 ","$384,994,536.00 ","$530,438,278.00 "
390,American Pie 2 (2001),8/10/2001,"$145,103,595.00 ","$142,450,000.00 ","$287,553,595.00 "
393,"I, Robot (2004)",7/15/2004,"$144,801,023.00 ","$208,332,875.00 ","$353,133,898.00 "
395,The Fast and the Furious (2001),6/22/2001,"$144,533,925.00 ","$62,771,584.00 ","$207,305,509.00 "
